first_name,second_name,id,minutes,xG,xA,xGC,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,clean_sheets,goals_conceded,bonus,form,diff,team_against,Home/Away
Marc,Cucurella Saseta,112,392,0.02,0.29000000000000004,5.1899999999999995,11,14.27,12,9.999999999999998,0,0,1,5,0,1.6,-25,Arsenal,Away
Takehiro,Tomiyasu,14,264,0.24000000000000002,0.13,4.16,11,11.27,12,12.420000000000002,0,1,1,7,0,0.0,25,Chelsea,Home
Wesley,Fofana,272,401,0.30000000000000004,0.16,4.9399999999999995,12,14.64,5,14.75,0,0,1,5,1,2.0,-25,Arsenal,Away
Wout,Faes,612,450,0.31000000000000005,0.03,7.910000000000001,12,13.350000000000001,9,11.89,0,1,0,8,2,2.2,35,Everton,Home
Steve,Cook,379,449,0.11,0.39,8.399999999999999,15,11.83,9,10.29,0,0,2,8,0,0.0,-15,Brentford,Away
Scott,McKenna,385,379,0.0,0.15999999999999998,6.82,15,12.24,8,10.370000000000001,0,0,2,4,0,0.3,-15,Brentford,Away
Trevoh,Chalobah,141,428,0.2,0.18000000000000002,5.96,12,11.1,11,11.16,0,0,2,6,0,0.4,-25,Arsenal,Away
Diego,Llorente,228,450,0.7000000000000001,0.03,7.12,12,16.61,4,12.5,0,0,1,9,2,0.0,55,Bournemouth,Away
Pontus,Jansson,78,423,0.1,0.0,9.25,17,13.56,8,6.32,1,0,1,9,0,1.7,15,Nott'm Forest,Home
Mason,Holgate,192,371,0.09,0.15,7.2299999999999995,14,10.31,12,8.0,0,0,2,5,2,0.6,-35,Leicester,Away
Ben,Mee,526,441,0.43,0.02,5.78,12,14.52,7,10.549999999999999,0,0,1,6,0,2.2,15,Nott'm Forest,Home
Chris,Mepham,71,450,0.39,0.07,8.17,15,16.79,0,11.780000000000001,0,0,2,9,2,2.5,-55,Leeds,Home
Duje,Caleta-Car,623,402,0.5700000000000001,0.01,7.460000000000001,13,10.450000000000001,10,7.77,1,0,0,6,0,1.8,-140,Newcastle,Away
Rob,Holding,5,450,0.29000000000000004,0.14,9.97,11,13.040000000000001,5,9.2,1,0,0,12,0,2.2,25,Chelsea,Home
Maximilian,Wöber,691,450,0.03,0.15000000000000002,8.06,11,13.149999999999999,5,8.29,0,0,1,7,1,0.0,55,Bournemouth,Away
Benoît,Badiashile,689,450,0.4,0.13,6.77,11,12.71,7,6.300000000000001,0,0,1,6,0,0.2,-25,Arsenal,Away
Ricardo,Barbosa Pereira,256,372,0.12000000000000001,0.6900000000000001,6.84,16,11.23,4,2.3800000000000003,1,1,0,8,2,1.5,35,Everton,Home
Yerry,Mina,188,234,0.3,0.02,4.24,13,11.940000000000001,1,3.3200000000000003,1,0,0,4,3,0.0,-35,Leicester,Away
