first_name,second_name,id,minutes,xG,xA,xGC,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,clean_sheets,goals_conceded,bonus,form,diff,team_against,Home/Away
James,Maddison,261,444,1.35,0.88,9.22,14,20.439999999999998,18,16.470000000000002,0,1,0,8,1,2.3,35,Everton,Home
Dwight,McNeil,534,450,0.44999999999999996,0.6900000000000002,9.7,25,18.830000000000002,12,12.8,2,0,1,10,4,5.0,-35,Leicester,Away
Harrison,Reed,211,360,0.26,0.30000000000000004,4.59,18,12.46,22,15.32,1,1,0,5,3,3.6,-120,Liverpool,Away
Christian,Eriksen,519,381,0.7200000000000001,0.6200000000000001,5.369999999999999,15,17.02,17,18.05,0,1,2,5,1,1.2,50,Brighton,Away
Harvey,Barnes,264,410,1.1800000000000002,0.11,6.91,20,16.69,18,12.309999999999999,2,0,0,7,0,2.2,35,Everton,Home
Riyad,Mahrez,303,379,1.75,0.45999999999999996,4.32,22,22.36,12,10.64,1,2,0,4,2,2.2,265,Fulham,Away
Rodrigo,Hernandez,315,394,0.48000000000000004,0.25,1.55,11,12.600000000000001,24,18.39,0,1,1,3,0,2.0,220,West Ham,Home
Daniel,James,231,259,1.19,0.05,3.5699999999999994,22,13.809999999999999,18,12.01,2,1,0,4,2,3.2,-120,Liverpool,Away
Jordan,Henderson,275,408,0.5700000000000001,1.31,6.240000000000001,16,15.39,18,15.66,0,2,1,6,0,3.0,0,Spurs,Home
Jordan,Henderson,275,408,0.5700000000000001,1.31,6.240000000000001,16,15.39,18,15.66,0,2,1,6,0,3.0,120,Fulham,Home
Willian,Borges da Silva,614,416,0.46,0.37,5.24,15,13.409999999999998,20,15.209999999999999,0,2,0,6,0,2.4,-265,Man City,Home
Declan,Rice,467,450,0.27,0.38,9.76,17,12.81,21,12.719999999999999,1,0,2,9,1,3.3,-220,Man City,Away
Declan,Rice,467,450,0.27,0.38,9.76,17,12.81,21,12.719999999999999,1,0,2,9,1,3.3,45,Crystal Palace,Away
Luis,Sinisterra Lucumí,508,264,1.8900000000000001,0.38,6.3100000000000005,25,18.39,11,8.870000000000001,3,0,0,10,3,4.5,55,Bournemouth,Away
Pascal,Groß,104,450,0.87,1.2400000000000002,7.33,13,14.639999999999999,15,20.6,0,2,1,9,0,2.6,80,Wolves,Home
Pascal,Groß,104,450,0.87,1.2400000000000002,7.33,13,14.639999999999999,15,20.6,0,2,1,9,0,2.6,-50,Man Utd,Home
Harvey,Elliott,294,333,0.6000000000000001,0.96,5.039999999999999,13,13.120000000000001,19,17.12,0,1,2,4,0,0.3,120,Fulham,Home
Harvey,Elliott,294,333,0.6000000000000001,0.96,5.039999999999999,13,13.120000000000001,19,17.12,0,1,2,4,0,0.3,0,Spurs,Home
Jadon,Sancho,340,324,0.73,0.5800000000000001,4.65,20,14.500000000000002,15,11.97,1,1,3,3,0,4.0,50,Brighton,Away
Miguel,Almirón Rejala,369,223,0.33000000000000007,0.21000000000000002,3.5399999999999996,19,10.87,19,12.28,1,1,1,5,3,1.3,140,Southampton,Home
Daniel,James,231,259,1.19,0.05,3.5699999999999994,22,13.809999999999999,13,11.76,2,1,0,4,2,3.2,-265,Man City,Home
Leandro,Trossard,111,240,0.09,1.46,2.21,16,11.62,18,13.8,0,3,0,4,0,2.4,25,Chelsea,Home
Harry,Wilson,212,282,1.27,0.04,4.14,21,16.16,13,9.08,2,0,1,2,2,3.8,-265,Man City,Home
Theo,Walcott,400,347,0.8,0.21000000000000002,6.59,15,15.56,14,14.06,1,0,0,8,0,3.0,-140,Newcastle,Away
Neeskens,Kebano,204,326,0.17,0.29000000000000004,6.09,17,10.27,18,12.59,0,2,2,5,0,0.4,-265,Man City,Home
Allan,Saint-Maximin,368,270,0.22,1.01,1.7300000000000002,16,13.399999999999999,14,14.280000000000001,0,2,2,3,0,1.8,140,Southampton,Home
Marcel,Sabitzer,728,404,0.44,0.56,8.12,17,14.34,13,12.67,0,1,4,2,0,2.2,55,Aston Villa,Home
Yoane,Wissa,89,251,0.6500000000000001,0.09,3.5300000000000002,14,11.2,16,15.529999999999998,1,0,1,3,0,1.3,15,Nott'm Forest,Home
Bernardo,Veiga de Carvalho e Silva,311,317,0.5,0.30000000000000004,2.95,13,11.670000000000002,17,14.9,1,0,1,3,0,1.2,265,Fulham,Away
Sean,Longstaff,370,320,0.45999999999999996,0.19,4.74,12,10.07,18,15.629999999999999,0,1,1,4,0,2.5,140,Southampton,Home
Bruno,Guimarães Rodriguez Moura,374,429,0.11,0.68,6.7299999999999995,17,14.440000000000001,10,13.980000000000002,0,2,0,7,1,3.3,140,Southampton,Home
Jefferson,Lerma Solís,64,434,0.21,0.65,8.15,11,12.81,15,15.870000000000001,0,0,2,8,0,2.0,-55,Leeds,Home
Willian,Borges da Silva,614,416,0.46,0.37,5.24,15,13.409999999999998,14,11.75,0,2,0,6,0,2.4,-120,Liverpool,Away
Matheus Luiz,Nunes,589,438,0.04,0.14,6.3100000000000005,20,12.95,10,10.439999999999998,1,0,3,3,2,4.0,-80,Brighton,Away
Rúben,da Silva Neves,480,368,1.33,0.27,5.7299999999999995,19,16.910000000000004,7,9.65,1,1,1,6,3,3.0,-80,Brighton,Away
Saïd,Benrahma,464,315,1.45,0.38,7.859999999999999,15,17.73,8,11.1,1,0,1,7,0,3.0,-220,Man City,Away
Saïd,Benrahma,464,315,1.45,0.38,7.859999999999999,15,17.73,8,11.1,1,0,1,7,0,3.0,45,Crystal Palace,Away
Cheick,Doucouré,514,420,0.35000000000000003,0.16,3.7800000000000002,15,13.919999999999998,11,11.809999999999999,0,1,2,6,0,2.6,-45,West Ham,Home
Scott,McTominay,338,340,0.52,0.47,6.35,15,10.67,15,11.02,1,0,2,5,2,2.8,55,Aston Villa,Home
Jeffrey,Schlupp,161,338,0.7000000000000001,0.33,3.1,13,13.390000000000002,12,13.28,0,1,2,3,0,2.6,-45,West Ham,Home
Leon,Bailey,45,259,0.34,1.25,2.9499999999999997,12,14.41,11,13.7,0,1,1,2,0,0.7,-55,Man Utd,Away
Tomas,Soucek,468,422,0.32,0.18,9.1,15,12.46,13,10.15,0,1,2,7,0,3.0,-220,Man City,Away
Tomas,Soucek,468,422,0.32,0.18,9.1,15,12.46,13,10.15,0,1,2,7,0,3.0,45,Crystal Palace,Away
Pierre-Emile,Højbjerg,433,450,0.18,0.46,9.02,14,10.46,13,11.4,0,2,0,13,0,2.8,0,Liverpool,Away
Marc,Roca Junqué,245,450,0.71,1.02,10.07,13,16.82,10,9.010000000000002,0,1,0,15,2,2.5,55,Bournemouth,Away
Bernardo,Veiga de Carvalho e Silva,311,317,0.5,0.30000000000000004,2.95,13,11.670000000000002,12,12.060000000000002,1,0,1,3,0,1.2,220,West Ham,Home
Manor,Solomon,562,350,0.64,0.51,7.919999999999999,14,13.009999999999998,11,10.68,1,0,0,8,0,1.2,-120,Liverpool,Away
Alex,Iwobi,186,450,0.21000000000000002,0.65,9.7,11,13.51,11,12.720000000000002,0,0,1,10,0,2.2,-35,Leicester,Away
